model,split,target_bin,target,ablation,n,rmse,mae,r2,spearman,accuracy,f1_macro
TASK_DECODER_NO_STATIC,test,a44_45,emp,no_static,251,,,,,0.8326693227091634,0.49742562929061784
TASK_DECODER_NO_STATIC,test,a44_45,mar,no_static,251,,,,,0.7131474103585658,0.3553975870307841
TASK_DECODER_NO_EARLY_HISTORY,val,a30_31,earn,no_history,248,1.2684736805953196,0.9659994840621948,0.11439353227615356,0.4011084794810281,,
TASK_DECODER_NO_EARLY_HISTORY,val,a30_31,emp,no_history,250,,,,,0.78,0.43820224719101125
TASK_DECODER_NO_EARLY_HISTORY,val,a30_31,mar,no_history,250,,,,,0.72,0.2310948486152963
TASK_DECODER_NO_EARLY_HISTORY,val,a32_33,earn,no_history,251,1.2209529041327136,0.9541459679603577,0.11818897724151611,0.3703058858661089,,
TASK_DECODER_NO_EARLY_HISTORY,val,a32_33,emp,no_history,251,,,,,0.8207171314741036,0.45076586433260396
TASK_DECODER_NO_EARLY_HISTORY,val,a32_33,mar,no_history,251,,,,,0.7330677290836654,0.23789755607633073
TASK_DECODER_NO_EARLY_HISTORY,val,a34_35,earn,no_history,257,1.2207535145849804,0.9196699261665344,0.0924144983291626,0.37579207162934636,,
TASK_DECODER_NO_EARLY_HISTORY,val,a34_35,emp,no_history,257,,,,,0.8326848249027238,0.4543524416135881
TASK_DECODER_NO_EARLY_HISTORY,val,a34_35,mar,no_history,257,,,,,0.7315175097276264,0.23768589638829876
TASK_DECODER_NO_EARLY_HISTORY,val,a36_37,earn,no_history,252,1.190017190616723,0.9056726694107056,0.14150464534759521,0.42757632957299974,,
TASK_DECODER_NO_EARLY_HISTORY,val,a36_37,emp,no_history,252,,,,,0.8253968253968254,0.45217391304347826
TASK_DECODER_NO_EARLY_HISTORY,val,a36_37,mar,no_history,253,,,,,0.6996047430830039,0.23096984515077423
TASK_DECODER_NO_EARLY_HISTORY,val,a38_39,earn,no_history,251,1.3649793831522379,1.0582072734832764,0.07998669147491455,0.34902154122945406,,
TASK_DECODER_NO_EARLY_HISTORY,val,a38_39,emp,no_history,250,,,,,0.784,0.43946188340807174
TASK_DECODER_NO_EARLY_HISTORY,val,a38_39,mar,no_history,251,,,,,0.6852589641434262,0.23141982395713737
TASK_DECODER_NO_EARLY_HISTORY,val,a40_41,earn,no_history,249,1.304322425795378,1.0082937479019165,0.07176005840301514,0.3061205143037734,,
TASK_DECODER_NO_EARLY_HISTORY,val,a40_41,emp,no_history,250,,,,,0.804,0.44567627494456763
TASK_DECODER_NO_EARLY_HISTORY,val,a40_41,mar,no_history,250,,,,,0.68,0.22176352281147454
TASK_DECODER_NO_EARLY_HISTORY,val,a42_43,earn,no_history,254,1.331139632472116,1.028884768486023,0.10491776466369629,0.3761658540051914,,
TASK_DECODER_NO_EARLY_HISTORY,val,a42_43,emp,no_history,254,,,,,0.8228346456692913,0.4514038876889849
TASK_DECODER_NO_EARLY_HISTORY,val,a42_43,mar,no_history,254,,,,,0.6850393700787402,0.22165851670741646
TASK_DECODER_NO_EARLY_HISTORY,val,a44_45,earn,no_history,252,1.38847085648675,1.0883758068084717,0.06212085485458374,0.2929485035370246,,
TASK_DECODER_NO_EARLY_HISTORY,val,a44_45,emp,no_history,252,,,,,0.8015873015873016,0.44493392070484583
TASK_DECODER_NO_EARLY_HISTORY,val,a44_45,mar,no_history,252,,,,,0.6785714285714286,0.2284532671629446
TASK_DECODER_NO_EARLY_HISTORY,test,a30_31,earn,no_history,246,1.1710961360283607,0.8774538636207581,0.17691582441329956,0.4351312660098269,,
TASK_DECODER_NO_EARLY_HISTORY,test,a30_31,emp,no_history,246,,,,,0.7886178861788617,0.4409090909090909
TASK_DECODER_NO_EARLY_HISTORY,test,a30_31,mar,no_history,246,,,,,0.6626016260162602,0.30688575899843507
TASK_DECODER_NO_EARLY_HISTORY,test,a32_33,earn,no_history,251,1.1050875919889869,0.8343695402145386,0.19726741313934326,0.4736251626188318,,
