epoch,train_loss,val_earn_mse,ablation
0,1.9788582027534913,1.0273889571931416,no_static
1,1.560065070941785,0.970685455034364,no_static
2,1.4740776725156626,0.9870653540754271,no_static
3,1.4382240550891574,1.0380620525515423,no_static
4,1.4363410415225148,0.9512116925600387,no_static
5,1.4276910499170625,0.9574614096776968,no_static
6,1.4043425503736309,0.9480813053892527,no_static
7,1.4070440655289582,0.946566108677096,no_static
8,1.3892550952660507,0.9338933533684618,no_static
9,1.3755892515182495,0.9910328722047475,no_static
10,1.3746949259040435,0.9683745610560064,no_static
11,1.3736378106665104,0.9453882806469217,no_static
12,1.371725271702735,0.952556316049949,no_static
13,1.3692413842885591,0.9589577412534257,no_static
14,1.3683572670938429,0.9397409404993294,no_static
15,1.3622539087236505,0.9218961664557812,no_static
16,1.367787596796652,0.927168816771976,no_static
17,1.3611930018467415,0.9728744198099267,no_static
18,1.364500387494292,0.992833131829937,no_static
19,1.3675783727339665,0.9519952960615717,no_static
20,1.3534241868633365,0.9641799675790887,no_static
21,1.35291356136536,0.9600515583420937,no_static
22,1.3552839364027838,0.9439988562461754,no_static
