ID,YEAR,DEMO_SEX,DEMO_BIRTH_YEAR,DEMO_AGE_GEN,EDU_LEVEL,FAM_SIZE,FAM_SIZE_CHI,FAM_PARSTAT,FAM_MARSTAT,GEO_REGION,GEO_METRO,CGEO_REGION,RACE_ETH_MAJ_COL,EMP_WORK,OCC_1970C,OCC_2000C_1M,OCC_2010C_1M,HOME_STAT,REL_PAR_BF_ID,REL_PAR_BM_ID,OCC_ANY,OCC_SCHEME,father_share_married,father_share_divorc,father_EDU_MAX,father_obs_cnt,mother_share_married,mother_share_divorc,mother_EDU_MAX,mother_obs_cnt,PAR_BOTH_MISS,EARN_TOT_RDF,FINC_TOT_RDF,WLTH_TOT_NET_RDF,WLTH_HOME_NET_RDF,WLTH_SAVI_NET_RDF,WLTH_INVE_NET_RDF,WLTH_ODEB_NET_RDF,father_EARN_mean,father_EARN_sd,father_FINC_mean,mother_EARN_mean,mother_EARN_sd,mother_FINC_mean,COHORT_BIN,split
4007,1985,2,1960,25,1,3,1,1,1,3,,3,1,1,663,,,1,4001,4002,663,1,.22222222,0,0,9,.22222222,0,0,9,0,3.073025090908751,4.207286727029967,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1986,2,1960,26,1,3,1,1,1,3,,3,1,1,663,,,1,4001,4002,663,1,.22222222,0,0,9,.22222222,0,0,9,0,3.040350159892271,4.152335856075158,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1987,2,1960,27,1,3,1,1,1,3,,3,1,1,663,,,1,4001,4002,663,1,.22222222,0,0,9,.22222222,0,0,9,0,3.019865793284095,4.237143862502221,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1988,2,1960,28,1,4,2,1,1,3,,3,1,1,663,,,1,4001,4002,663,1,.22222222,0,0,9,.22222222,0,0,9,0,2.854835711663574,4.174315708025761,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1989,2,1960,29,1,4,2,1,1,3,,3,1,1,663,,,1,4001,4002,663,1,.22222222,0,0,9,.22222222,0,0,9,0,2.818750029448873,4.06725541025159,4.34409704509489,4.005816345717037,.4312409521116858,0,0,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1990,2,1960,30,1,4,2,1,1,3,,3,1,0,,,,1,4001,4002,,,.22222222,0,0,9,.22222222,0,0,9,0,2.466685601270899,3.834925417908738,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1991,2,1960,31,1,4,2,1,1,3,,3,1,0,,,,1,4001,4002,,,.22222222,0,0,9,.22222222,0,0,9,0,0,3.695192444251582,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1992,2,1960,32,1,4,2,1,1,3,,3,1,0,,,,1,4001,4002,,,.22222222,0,0,9,.22222222,0,0,9,0,0,3.713140329831818,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1993,2,1960,33,1,4,2,1,1,3,,3,1,1,361,,,1,4001,4002,361,1,.22222222,0,0,9,.22222222,0,0,9,0,2.173483675176792,3.75805702837513,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1994,2,1960,34,1,4,2,1,1,3,,3,1,1,361,,,1,4001,4002,361,1,.22222222,0,0,9,.22222222,0,0,9,0,2.724461887762618,3.974904034396693,4.439675223060878,4.040092663880196,2.332655233717172,0,0,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1995,2,1960,35,1,4,2,1,1,3,,3,1,1,361,,,1,4001,4002,361,1,.22222222,0,0,9,.22222222,0,0,9,0,2.8763563684353,3.918361298058415,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1996,2,1960,36,1,2,1,2,2,3,,3,1,1,361,,,2,4001,4002,361,1,.22222222,0,0,9,.22222222,0,0,9,0,3.422363859938075,4.341890620750934,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1997,2,1960,37,1,2,1,3,3,3,,3,1,1,361,,,2,4001,4002,361,1,.22222222,0,0,9,.22222222,0,0,9,0,3.443114700493823,3.636982460834701,,,,,,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
4007,1999,2,1960,39,1,2,1,3,3,3,,3,1,1,361,,,1,4001,4002,361,1,.22222222,0,0,9,.22222222,0,0,9,0,3.63532159941342,3.802751588179726,3.950041047782502,2.954491640639892,2.744290262424633,0,0,3.2120887440429,2.86724061851145,3.94464119118897,.3098456473273621,.7369937386431309,3.94464119118897,0,test
