split,model,earn_r2_avg,emp_acc_avg,emp_f1_avg,mar_acc_avg,mar_f1_avg,class_acc_avg_emp_mar,class_f1_avg_emp_mar,n_rows
test,TASK_DECODER_TRANSFORMER,0.3669713959097862,0.82542323450815,0.6023709402677929,0.7644379189260132,0.40353566746751446,0.7949305767170816,0.5029533038676537,24
test,DIRECT_TRANSFORMER,0.35378875583410263,0.8254362303213898,0.6153263491025899,0.7585090942727992,0.3880392255132774,0.7919726622970945,0.5016827873079337,24
test,AR_TRANSFORMER,0.29649677872657776,0.8175400101599968,0.6638086163292376,0.7423380009732594,0.4397417531644171,0.779939005566628,0.5517751847468273,24
test,FT_TRANSFORMER,0.29936621338129044,0.819913353459653,0.5785579778798975,0.761790870109803,0.33665176710401545,0.790852111784728,0.45760487249195647,24
test,FLAT_MLP,0.3385979235172272,0.8223942159723756,0.5161688523662765,0.6714103486922711,0.20399335650615008,0.7469022823323233,0.36008110443621333,24
test,MULTITASK_MLP,0.340734526515007,0.8144751037890143,0.47770415310899517,0.6790316120382492,0.22237416675496602,0.7467533579136318,0.3500391599319806,24
test,GRU,0.3690160810947418,0.8274462422441174,0.6258407566224711,0.7609150132065856,0.38238350311803426,0.7941806277253516,0.5041121298702527,24
test,RIDGE_L2_LOGIT,0.34652362018823624,0.8185193386501237,0.5936868019155208,0.769352279535297,0.3590999684551983,0.7939358090927104,0.4763933851853595,24
test,LASSO_L1_LOGIT,0.3524376079440117,0.8165391174277765,0.5897886840048296,0.7624429255503118,0.3542833053288975,0.7894910214890442,0.47203599466686363,24
test,OLS_LOGIT,0.35003509372472763,0.8194914922833587,0.600665490499191,0.763909530287044,0.3567984257590251,0.7917005112852012,0.47873195812910807,24
test,MEAN_MAJORITY,-0.0030218809843062947,0.8169333167017082,0.44955285958666774,0.6437797271598179,0.16626680125650928,0.7303565219307631,0.3079098304215885,24
val,TASK_DECODER_TRANSFORMER,0.2950564920902252,0.8114671625719767,0.5788463883499184,0.762155635801709,0.36387714528234993,0.7868113991868428,0.4713617668161342,24
val,DIRECT_TRANSFORMER,0.2963267117738724,0.8203596956364494,0.5793917876249981,0.754779343953514,0.36279146647791505,0.7875695197949817,0.4710916270514565,24
val,AR_TRANSFORMER,0.2305019199848175,0.8015497838148291,0.62279199364967,0.7453640168053531,0.36239887774653,0.7734569003100912,0.49259543569810005,24
val,FT_TRANSFORMER,0.21381786465644834,0.8143707853295006,0.5546754494529247,0.7487532218112729,0.2898451221019993,0.7815620035703867,0.422260285777462,24
val,FLAT_MLP,0.22744391113519666,0.8168711382766274,0.5062593504889936,0.7155869184378187,0.18673272029026555,0.7662290283572231,0.3464960353896296,24
val,MULTITASK_MLP,0.23813509196043015,0.8128907330492876,0.47294506392887,0.7194638409778917,0.1977133189929058,0.7661772870135897,0.3353291914608879,24
val,GRU,0.2621048614382744,0.8148944540591564,0.5848151350697609,0.7438833955844366,0.32648314353006025,0.7793889248217964,0.45564913929991063,24
val,RIDGE_L2_LOGIT,0.27500518411397934,0.8228902076884537,0.6096792399930132,0.7557473832257038,0.31743531926792445,0.7893187954570786,0.4635572796304689,24
val,LASSO_L1_LOGIT,0.2831723093986511,0.8258530417945591,0.6143556104149148,0.7532572801459592,0.31741236094186553,0.7895551609702591,0.46588398567839007,24
val,OLS_LOGIT,0.257037989795208,0.8184488820849158,0.6048794283864461,0.7462831291309715,0.3140811629180595,0.7823660056079438,0.4594802956522528,24
val,MEAN_MAJORITY,-0.0036103725433349124,0.8089025911287807,0.4471213041158939,0.7056028546927988,0.16545460277326993,0.7572527229107897,0.30628795344458193,24
