epoch,train_loss,val_earn_mse,teacher_forcing_ratio
0,1.7319360611747727,1.0386035430514233,1.0
1,1.1507146491072855,1.1536735752014797,1.0
2,1.0190298444297834,0.974334143597888,1.0
3,0.9555834783115055,1.1569083106316544,1.0
4,0.893411840530152,1.0406414494140384,0.9955357142857143
5,0.8533139794891992,1.056585262406547,0.9910714285714286
6,0.836786177910043,1.0492945264325715,0.9866071428571429
7,0.8187831250565195,1.0366356870031879,0.9821428571428571
8,0.8088435663245402,1.2202004529276813,0.9776785714285714
9,0.8035770601645198,1.0766553428937804,0.9732142857142857
