ID,YEAR,DEMO_BIRTH_YEAR,DEMO_AGE_GEN,DEMO_SEX,RACE_ETH_MAJ_COL,CGEO_REGION,REL_PAR_BF_ID,REL_PAR_BM_ID,EARN_TOT_RDF,FINC_TOT_RDF,WLTH_TOT_NET_RDF,WLTH_HOME_NET_RDF,WLTH_SAVI_NET_RDF,WLTH_INVE_NET_RDF,WLTH_ODEB_NET_RDF,EMP_WORK,EDU_LEVEL,FAM_PARSTAT,FAM_MARSTAT,FAM_SIZE,FAM_SIZE_CHI,HOME_STAT,GEO_REGION,GEO_METRO,OCC_1970C,OCC_2000C_1M,OCC_2010C_1M,OCC_ANY,OCC_SCHEME,father_EARN_mean,father_FINC_mean,father_share_married,father_share_divorc,father_EARN_sd,father_EDU_MAX,father_obs_cnt,mother_EARN_mean,mother_FINC_mean,mother_share_married,mother_share_divorc,mother_EARN_sd,mother_EDU_MAX,mother_obs_cnt,PAR_BOTH_MISS,COHORT_BIN,split
4007,1985,1960,25,2,1,3,4001,4002,3.07302509090875,4.207286727029967,,,,,,1,1,1,1,3,1,1,3,,663,,,663,1.0,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1986,1960,26,2,1,3,4001,4002,3.040350159892271,4.152335856075158,,,,,,1,1,1,1,3,1,1,3,,663,,,663,1.0,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1987,1960,27,2,1,3,4001,4002,3.0198657932840947,4.237143862502221,,,,,,1,1,1,1,3,1,1,3,,663,,,663,1.0,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1988,1960,28,2,1,3,4001,4002,2.8548357116635743,4.174315708025761,,,,,,1,1,1,1,4,2,1,3,,663,,,663,1.0,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1989,1960,29,2,1,3,4001,4002,2.818750029448873,4.06725541025159,4.34409704509489,4.005816345717037,0.4312409521116858,0.0,0.0,1,1,1,1,4,2,1,3,,663,,,663,1.0,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1990,1960,30,2,1,3,4001,4002,2.466685601270899,3.834925417908738,,,,,,0,1,1,1,4,2,1,3,,,,,,,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1991,1960,31,2,1,3,4001,4002,0.0,3.695192444251582,,,,,,0,1,1,1,4,2,1,3,,,,,,,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1992,1960,32,2,1,3,4001,4002,0.0,3.7131403298318184,,,,,,0,1,1,1,4,2,1,3,,,,,,,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1993,1960,33,2,1,3,4001,4002,2.173483675176792,3.7580570283751302,,,,,,1,1,1,1,4,2,1,3,,361,,,361,1.0,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
4007,1994,1960,34,2,1,3,4001,4002,2.724461887762618,3.9749040343966935,4.4396752230608785,4.040092663880196,2.3326552337171718,0.0,0.0,1,1,1,1,4,2,1,3,,361,,,361,1.0,3.2120887440429002,3.9446411911889707,0.2222222222222222,0.0,2.86724061851145,0.0,9.0,0.30984564732736214,3.9446411911889707,0.2222222222222222,0.0,0.7369937386431308,0.0,9.0,0,0,val
