epoch,train_loss,val_earn_mse,teacher_forcing_ratio
0,1.7319360611747727,1.0386035430514233,1.0
1,1.1507146491072855,1.1536735752014797,1.0
2,1.0190298444297834,0.974334143597888,1.0
3,0.9555834783115055,1.1569083106316544,1.0
4,0.893448685654358,1.0481462279758245,1.0
5,0.8407150437799598,1.0903198650363897,1.0
6,0.8392035529968587,1.1066265714677586,1.0
7,0.8105351977929387,1.018079018521806,1.0
8,0.803165427144307,1.001275584382831,1.0
9,0.7982413404453654,0.9617302649781152,1.0
10,0.7970698219895133,1.1350679544374982,1.0
11,0.7895474563023108,1.1071011657866372,1.0
12,0.7905956079005273,1.1354981626512515,1.0
13,0.781170751877864,1.1098169977402144,1.0
14,0.778060849446162,1.0678564315992884,1.0
15,0.7751707607588408,1.083804587266651,1.0
16,0.7748377794684478,1.049214077090554,1.0
