epoch,teacher_prob,train_loss,teacher_forced_val_loss,rollout_val_earn_mse
0,1.0,1.5840519477597057,1.152148074881975,1.1743342874066713
1,0.9897959183673469,1.077307063099033,0.9830418760462325,1.0874603838764332
2,0.9795918367346939,0.9356775438301337,0.884888559810875,1.0135892126505757
3,0.9693877551020408,0.8914646721900777,0.8628315994905871,1.0310173257223545
4,0.9591836734693877,0.879215527318663,0.8884388998497365,1.0861159389045056
5,0.9489795918367347,0.8758489539129821,0.8639356789662856,1.0584441564289082
6,0.9387755102040817,0.8760148700708578,0.8529596661412439,1.0160186165257503
7,0.9285714285714286,0.8641601480413913,0.8574473964151486,1.0849397890380739
8,0.9183673469387755,0.8609582709159335,0.8445188121278157,0.9711069506708655
9,0.9081632653061225,0.8680486494614031,0.8570263496665067,1.1123383402706022
10,0.8979591836734694,0.8729437934360836,0.8454107046127319,0.9926918303481161
11,0.8877551020408163,0.871190332351847,0.849382684674374,1.120220938173993
12,0.8775510204081632,0.8806035382604691,0.8460464306580003,1.0679298919859568
13,0.8673469387755102,0.869501846671335,0.8464610863101575,1.1329323513860616
14,0.8571428571428572,0.8791658426391779,0.8466110922569452,1.0775330173223472
