epoch,train_loss,val_earn_mse
0,1.9611142624738829,1.0035867468484463
1,1.5007926458546916,0.9526331209260397
2,1.4259628299587699,0.9230529127907019
3,1.4043846236437387,0.9627084012301463
4,1.3834876481522904,0.9236754712897474
5,1.3696908990004077,0.9214300195415539
6,1.3770542075601722,0.9108944199646359
7,1.34938144868301,0.9081287630264904
8,1.3362714303531316,0.9031739864709243
9,1.3243344457283241,0.9100955216863305
10,1.3210614221008419,0.932596842132235
11,1.3161429873518142,0.918562183550595
12,1.3201360647175713,0.9019441561997232
13,1.306701282929175,0.9021577427853658
14,1.315669280648001,0.9020702827059642
15,1.2956766436593445,0.9030245550812889
16,1.3012229547740413,0.886202653091264
17,1.2973564392824006,0.9161586141160133
18,1.2946097511848582,0.9162759790354239
19,1.2813245362423835,0.8896277284669545
20,1.2767272055494947,0.909099004948151
21,1.2763945235505094,0.9079886354069487
22,1.2745725167789128,0.8980580844140456
23,1.2610529811054871,0.9022439466095729
