d_model,n_heads,n_hist_layers,n_dec_layers,dropout,lr,weight_decay,batch_size,seed,rollout_val_earn_mse,best_epoch
64,4,1,1,0.15,0.001,0.0001,128,1470,0.9711069506708655,8
128,4,1,1,0.15,0.001,0.0001,128,1470,0.9944729996769288,2
