epoch,train_loss,val_earn_mse
0,2.2102220247515856,1.1766105910398754
1,1.6047805434730573,0.9729549624358768
2,1.5075668818254304,0.9460783686633143
3,1.4410132898352823,0.9243350223135924
4,1.4146323464594681,0.9756803865347505
5,1.4053873317154049,0.9944876057152241
6,1.3941287823756383,0.9199102689635079
7,1.3744859010615247,0.9095114331022867
8,1.3655985153390084,0.8873844497135166
9,1.3631487713561068,0.9433135626451025
10,1.3616233775878552,0.911414904059341
11,1.353385324404364,0.9023523093927226
12,1.3529518104844673,0.9169991975271004
13,1.3431446962707048,0.898883019327052
14,1.3300131280371483,0.8912994579856895
15,1.33431140320444,0.8851023960965866
16,1.3292515598367216,0.8993105064437548
17,1.3328447249687387,0.9120337629270885
18,1.3285266377709128,0.8894623668333507
19,1.3306400642173664,0.9105347431641231
20,1.3127031755170693,0.9535793221103399
21,1.312190053541379,0.9234250337625332
22,1.3108537486489553,0.8950706281160054
